,KeyDATRegion,DATSuperRegion,DATRegion,DATCityState,DATCity,DATState,DAT3Zip,DAT3ZipRef,DATCountry
0,1,Southeast,AL_BIR,"Birmingham, AL",Birmingham,AL,350,352,USA
1,2,Southeast,AL_BIR,"Birmingham, AL",Birmingham,AL,351,352,USA
2,3,Southeast,AL_BIR,"Birmingham, AL",Birmingham,AL,352,352,USA
3,4,Southeast,AL_BIR,"Birmingham, AL",Birmingham,AL,354,352,USA
4,5,Southeast,AL_BIR,"Birmingham, AL",Birmingham,AL,362,352,USA
5,6,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,355,356,USA
6,7,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,356,356,USA
7,8,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,357,356,USA
8,9,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,358,356,USA
9,10,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,384,356,USA
10,11,Southeast,AL_DEC,"Decatur, AL",Decatur,AL,388,356,USA
11,12,Florida-So Georgia,AL_MOB,"Mobile, AL",Mobile,AL,325,366,USA
12,13,Southeast,AL_MOB,"Mobile, AL",Mobile,AL,364,366,USA
13,14,Southeast,AL_MOB,"Mobile, AL",Mobile,AL,365,366,USA
14,15,Southeast,AL_MOB,"Mobile, AL",Mobile,AL,366,366,USA
15,16,Southeast,AL_MOB,"Mobile, AL",Mobile,AL,394,366,USA
16,17,Southeast,AL_MOB,"Mobile, AL",Mobile,AL,395,366,USA
17,18,Florida-So Georgia,AL_MON,"Montgomery, AL",Montgomery,AL,318,361,USA
18,19,Florida-So Georgia,AL_MON,"Montgomery, AL",Montgomery,AL,319,361,USA
19,20,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,360,361,USA
20,21,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,361,361,USA
21,22,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,363,361,USA
22,23,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,367,361,USA
23,24,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,368,361,USA
24,25,Southeast,AL_MON,"Montgomery, AL",Montgomery,AL,369,361,USA
25,26,South Central,AR_FAY,"Fayetteville, AR",Fayetteville,AR,726,727,USA
26,27,South Central,AR_FAY,"Fayetteville, AR",Fayetteville,AR,727,727,USA
27,28,South Central,AR_FAY,"Fayetteville, AR",Fayetteville,AR,729,727,USA
28,29,South Central,AR_FAY,"Fayetteville, AR",Fayetteville,AR,749,727,USA
29,30,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,716,722,USA
30,31,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,717,722,USA
31,32,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,719,722,USA
32,33,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,720,722,USA
33,34,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,721,722,USA
34,35,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,722,722,USA
35,36,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,725,722,USA
36,37,South Central,AR_LIT,"Little Rock, AR",Little Rock,AR,728,722,USA
37,38,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,855,860,USA
38,39,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,859,860,USA
39,40,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,860,860,USA
40,41,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,863,860,USA
41,42,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,864,860,USA
42,43,Lower Mountain,AZ_FLA,"Flagstaff, AZ",Flagstaff,AZ,865,860,USA
43,44,Lower Mountain,AZ_PHO,"Phoenix, AZ",Phoenix,AZ,850,850,USA
44,45,Lower Mountain,AZ_PHO,"Phoenix, AZ",Phoenix,AZ,851,850,USA
45,46,Lower Mountain,AZ_PHO,"Phoenix, AZ",Phoenix,AZ,852,850,USA
46,47,Lower Mountain,AZ_PHO,"Phoenix, AZ",Phoenix,AZ,853,850,USA
47,48,Lower Mountain,AZ_TUC,"Tucson, AZ",Tucson,AZ,856,857,USA
48,49,Lower Mountain,AZ_TUC,"Tucson, AZ",Tucson,AZ,857,857,USA
49,50,California,CA_FRS,"Fresno, CA",Fresno,CA,931,937,USA
50,51,California,CA_FRS,"Fresno, CA",Fresno,CA,932,937,USA
51,52,California,CA_FRS,"Fresno, CA",Fresno,CA,933,937,USA
52,53,California,CA_FRS,"Fresno, CA",Fresno,CA,934,937,USA
53,54,California,CA_FRS,"Fresno, CA",Fresno,CA,935,937,USA
54,55,California,CA_FRS,"Fresno, CA",Fresno,CA,936,937,USA
55,56,California,CA_FRS,"Fresno, CA",Fresno,CA,937,937,USA
56,57,California,CA_FRS,"Fresno, CA",Fresno,CA,938,937,USA
57,58,California,CA_LAX,"Los Angeles, CA",Los Angeles,CA,900,900,USA
